WARNING cnn.py:  40: [====DEPRECATE WARNING====]: you are creating an object from CNNModelHelper class which will be deprecated soon. Please use ModelHelper object with brew module. For more information, please refer to caffe2.ai and python/brew.py, python/brew_test.py for more information.
INFO net.py:  57: Loading weights from: /ML_OD_Benchmarking/detectron-download-cache/e2e_faster_rcnn_R-101-FPN_2x.yaml/model_final.pkl
INFO infer_simple.py: 140: Processing 1: /ML_OD_Benchmarking/data/inputs/000000344268.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 2: /ML_OD_Benchmarking/data/inputs/000000076547.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 3: /ML_OD_Benchmarking/data/inputs/000000530162.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 4: /ML_OD_Benchmarking/data/inputs/000000191761.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 5: /ML_OD_Benchmarking/data/inputs/000000481386.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 6: /ML_OD_Benchmarking/data/inputs/000000363207.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 7: /ML_OD_Benchmarking/data/inputs/000000220584.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 8: /ML_OD_Benchmarking/data/inputs/000000578489.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 9: /ML_OD_Benchmarking/data/inputs/000000550322.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 10: /ML_OD_Benchmarking/data/inputs/000000189475.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 11: /ML_OD_Benchmarking/data/inputs/000000010092.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 12: /ML_OD_Benchmarking/data/inputs/000000445602.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 13: /ML_OD_Benchmarking/data/inputs/000000099114.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 14: /ML_OD_Benchmarking/data/inputs/000000129945.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 15: /ML_OD_Benchmarking/data/inputs/000000301061.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 16: /ML_OD_Benchmarking/data/inputs/000000177934.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 17: /ML_OD_Benchmarking/data/inputs/000000007108.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 18: /ML_OD_Benchmarking/data/inputs/000000290163.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 19: /ML_OD_Benchmarking/data/inputs/000000136915.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 20: /ML_OD_Benchmarking/data/inputs/000000532058.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 21: /ML_OD_Benchmarking/data/inputs/000000015517.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 22: /ML_OD_Benchmarking/data/inputs/000000547502.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 23: /ML_OD_Benchmarking/data/inputs/000000190676.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 24: /ML_OD_Benchmarking/data/inputs/000000209747.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 25: /ML_OD_Benchmarking/data/inputs/000000375493.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 26: /ML_OD_Benchmarking/data/inputs/000000387387.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 27: /ML_OD_Benchmarking/data/inputs/000000291619.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 28: /ML_OD_Benchmarking/data/inputs/000000562121.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 29: /ML_OD_Benchmarking/data/inputs/000000153229.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 30: /ML_OD_Benchmarking/data/inputs/000000292082.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 31: /ML_OD_Benchmarking/data/inputs/000000417779.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 32: /ML_OD_Benchmarking/data/inputs/000000577735.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 33: /ML_OD_Benchmarking/data/inputs/000000244496.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 34: /ML_OD_Benchmarking/data/inputs/000000273712.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 35: /ML_OD_Benchmarking/data/inputs/000000221017.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 36: /ML_OD_Benchmarking/data/inputs/000000151051.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 37: /ML_OD_Benchmarking/data/inputs/000000087470.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 38: /ML_OD_Benchmarking/data/inputs/000000532575.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 39: /ML_OD_Benchmarking/data/inputs/000000139099.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 40: /ML_OD_Benchmarking/data/inputs/000000374052.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
INFO infer_simple.py: 140: Processing 41: /ML_OD_Benchmarking/data/inputs/000000369081.jpg -> /detectron/configs/12_2017_baselines/e2e_faster_rcnn_R-101-FPN_2x.json
